CustomerID,Recency,Frequency,MonetaryValue,R_Score,F_Score,M_Score,RFM_Score_Total,RFM_Segment
12483,39,19,5120.58,4,4,4,444,01 - Champions
12484,54,12,6370.15,3,4,4,344,03 - Loyal Customers
12485,551,1,708.1,1,1,2,112,04 - At Risk
12486,453,1,1037.28,1,1,3,113,06 - Others / Need Attention
12487,752,1,285.3,1,1,1,111,04 - At Risk
12488,31,3,1298.66,4,2,3,423,06 - Others / Need Attention
12489,358,1,334.93,2,1,1,211,04 - At Risk
12490,27,21,9823.64,4,4,4,444,01 - Champions
12491,60,1,460.40000000000003,3,1,2,312,06 - Others / Need Attention
12492,85,3,715.21,3,2,2,322,06 - Others / Need Attention
12493,187,2,433.74,2,2,2,222,04 - At Risk
12494,37,9,1872.8700000000001,4,4,3,443,02 - Potential Loyalists
12495,662,1,357.4,1,1,2,112,04 - At Risk
12496,642,2,54.09,1,2,1,121,04 - At Risk
12497,103,3,6248.5,3,2,4,324,06 - Others / Need Attention
12498,43,3,403.70000000000005,4,2,2,422,06 - Others / Need Attention
12499,582,1,393.72,1,1,2,112,04 - At Risk
12500,45,19,5955.21,4,4,4,444,01 - Champions
12501,358,1,2169.39,2,1,3,213,06 - Others / Need Attention
12502,117,5,3723.87,3,3,4,334,03 - Loyal Customers
12503,606,1,1126.0,1,1,3,113,06 - Others / Need Attention
12504,40,4,779.05,4,3,2,432,06 - Others / Need Attention
12505,430,1,955.2,1,1,3,113,06 - Others / Need Attention
12506,254,1,73.5,2,1,1,211,04 - At Risk
12507,156,4,1844.06,2,3,3,233,03 - Loyal Customers
12508,48,2,398.27,3,2,2,322,06 - Others / Need Attention
12509,306,1,176.5,2,1,1,211,04 - At Risk
12510,164,9,5178.02,2,4,4,244,03 - Loyal Customers
12511,450,1,3084.02,1,1,4,114,06 - Others / Need Attention
12512,88,2,138.03,3,2,1,321,06 - Others / Need Attention
12513,134,1,612.29,2,1,2,212,04 - At Risk
12514,289,2,1597.76,2,2,3,223,06 - Others / Need Attention
12515,375,1,383.7,2,1,2,212,04 - At Risk
12516,99,4,2648.62,3,3,4,334,03 - Loyal Customers
12517,50,5,2502.84,3,3,4,334,03 - Loyal Customers
12518,22,5,2056.89,4,3,3,433,02 - Potential Loyalists
12519,85,2,726.54,3,2,2,322,06 - Others / Need Attention
12520,101,5,2634.26,3,3,4,334,03 - Loyal Customers
12521,164,1,599.68,2,1,2,212,04 - At Risk
12522,61,2,192.72,3,2,1,321,06 - Others / Need Attention
12523,41,23,4372.15,4,4,4,444,01 - Champions
12524,31,17,11126.11,4,4,4,444,01 - Champions
12525,520,3,973.73,1,2,3,123,06 - Others / Need Attention
12526,22,3,1316.66,4,2,3,423,06 - Others / Need Attention
12527,103,5,735.51,3,3,2,332,06 - Others / Need Attention
12528,31,6,1933.48,4,3,3,433,02 - Potential Loyalists
12529,550,1,316.48,1,1,1,111,04 - At Risk
12530,81,9,3759.26,3,4,4,344,03 - Loyal Customers
12531,36,2,1933.2,4,2,3,423,06 - Others / Need Attention
12532,52,1,349.83000000000004,3,1,2,312,06 - Others / Need Attention
12533,649,2,1367.89,1,2,3,123,06 - Others / Need Attention
12534,152,1,1089.18,2,1,3,213,06 - Others / Need Attention
12535,113,2,716.35,3,2,2,322,06 - Others / Need Attention
12536,65,3,12601.830000000002,3,2,4,324,06 - Others / Need Attention
12537,430,1,732.94,1,1,2,112,04 - At Risk
12538,51,2,640.45,3,2,2,322,06 - Others / Need Attention
12539,44,7,11214.75,4,3,4,434,02 - Potential Loyalists
12540,41,33,22254.49,4,4,4,444,01 - Champions
12541,51,3,981.18,3,2,3,323,06 - Others / Need Attention
12542,506,2,481.88,1,2,2,122,04 - At Risk
12543,470,1,980.25,1,1,3,113,06 - Others / Need Attention
12544,58,1,372.7,3,1,2,312,06 - Others / Need Attention
12545,97,2,1000.39,3,2,3,323,06 - Others / Need Attention
12546,68,2,1161.5,3,2,3,323,06 - Others / Need Attention
12547,219,3,383.58,2,2,2,222,04 - At Risk
12548,188,1,95.19999999999999,2,1,1,211,04 - At Risk
12549,597,6,1575.68,1,3,3,133,06 - Others / Need Attention
12550,101,1,964.83,3,1,3,313,06 - Others / Need Attention
12551,379,1,168.0,2,1,1,211,04 - At Risk
12552,60,2,437.82,3,2,2,322,06 - Others / Need Attention
12553,30,12,4608.75,4,4,4,444,01 - Champions
12554,470,1,468.5,1,1,2,112,04 - At Risk
12555,704,1,129.23,1,1,1,111,04 - At Risk
12556,72,2,603.71,3,2,2,322,06 - Others / Need Attention
12557,38,8,18716.14,4,4,4,444,01 - Champions
12558,29,1,269.96,4,1,1,411,06 - Others / Need Attention
12559,332,2,561.71,2,2,2,222,04 - At Risk
12560,27,3,2134.01,4,2,3,423,06 - Others / Need Attention
12561,324,1,238.85,2,1,1,211,04 - At Risk
12562,30,9,4966.92,4,4,4,444,01 - Champions
12563,430,1,249.24,1,1,1,111,04 - At Risk
12564,283,1,456.90000000000003,2,1,2,212,04 - At Risk
12565,310,1,145.92000000000002,2,1,1,211,04 - At Risk
12566,108,1,351.65,3,1,2,312,06 - Others / Need Attention
12567,44,15,13709.86,4,4,4,444,01 - Champions
12568,666,1,70.0,1,1,1,111,04 - At Risk
12569,24,32,4124.6900000000005,4,4,4,444,01 - Champions
12570,704,1,77.52,1,1,1,111,04 - At Risk
12571,61,2,519.61,3,2,2,322,06 - Others / Need Attention
12572,30,2,1020.4200000000001,4,2,3,423,06 - Others / Need Attention
12573,249,5,717.41,2,3,2,232,06 - Others / Need Attention
12574,337,1,218.45000000000002,2,1,1,211,04 - At Risk
12575,479,2,622.82,1,2,2,122,04 - At Risk
12576,57,8,2142.7200000000003,3,4,3,343,03 - Loyal Customers
12577,57,8,1653.75,3,4,3,343,03 - Loyal Customers
12578,43,4,4642.45,4,3,4,434,02 - Potential Loyalists
12579,100,1,440.42,3,1,2,312,06 - Others / Need Attention
12580,268,2,1052.9,2,2,3,223,06 - Others / Need Attention
12581,61,1,197.71,3,1,1,311,06 - Others / Need Attention
12582,260,4,1980.4,2,3,3,233,03 - Loyal Customers
12583,24,27,14447.44,4,4,4,444,01 - Champions
12584,25,9,2338.15,4,4,4,444,01 - Champions
12585,256,2,2040.1,2,2,3,223,06 - Others / Need Attention
12586,39,4,2062.67,4,3,3,433,02 - Potential Loyalists
12587,29,1,144.0,4,1,1,411,06 - Others / Need Attention
12588,61,4,958.78,3,3,3,333,03 - Loyal Customers
12589,50,8,4695.66,3,4,4,344,03 - Loyal Customers
12590,233,2,9864.26,2,2,4,224,06 - Others / Need Attention
12591,339,3,1352.15,2,2,3,223,06 - Others / Need Attention
12592,114,5,2582.66,3,3,4,334,03 - Loyal Customers
12593,130,3,418.1,2,2,2,222,04 - At Risk
12594,59,15,5090.110000000001,3,4,4,344,03 - Loyal Customers
12595,526,1,299.02,1,1,1,111,04 - At Risk
12596,73,2,618.27,3,2,2,322,06 - Others / Need Attention
12597,41,4,3811.22,4,3,4,434,02 - Potential Loyalists
12598,31,11,4534.09,4,4,4,444,01 - Champions
12599,51,13,2296.72,3,4,3,343,03 - Loyal Customers
12600,50,21,5043.92,3,4,4,344,03 - Loyal Customers
12601,211,6,681.26,2,3,2,232,06 - Others / Need Attention
12602,80,1,153.12,3,1,1,311,06 - Others / Need Attention
12603,43,1,739.1999999999999,4,1,2,412,06 - Others / Need Attention
12604,101,2,254.18,3,2,1,321,06 - Others / Need Attention
12605,398,4,1232.95,2,3,3,233,03 - Loyal Customers
12606,704,1,21.0,1,1,1,111,04 - At Risk
12607,82,1,1579.51,3,1,3,313,06 - Others / Need Attention
12608,426,1,415.79,1,1,2,112,04 - At Risk
12609,100,9,3435.86,3,4,4,344,03 - Loyal Customers
12610,44,5,2099.54,4,3,3,433,02 - Potential Loyalists
12611,74,1,1193.32,3,1,3,313,06 - Others / Need Attention
12612,96,1,704.04,3,1,2,312,06 - Others / Need Attention
12613,79,10,6835.07,3,4,4,344,03 - Loyal Customers
12614,299,1,315.6,2,1,1,211,04 - At Risk
12615,24,8,5740.9800000000005,4,4,4,444,01 - Champions
12616,117,3,1131.1,3,2,3,323,06 - Others / Need Attention
12617,51,1,355.53000000000003,3,1,2,312,06 - Others / Need Attention
12618,43,1,177.31,4,1,1,411,06 - Others / Need Attention
12619,38,10,3781.38,4,4,4,444,01 - Champions
12620,36,3,1339.41,4,2,3,423,06 - Others / Need Attention
12621,23,35,24775.81,4,4,4,444,01 - Champions
12622,254,1,180.1,2,1,1,211,04 - At Risk
12623,298,7,3747.84,2,3,4,234,03 - Loyal Customers
12624,128,2,641.13,2,2,2,222,04 - At Risk
12625,233,4,5164.88,2,3,4,234,03 - Loyal Customers
12626,45,9,6620.4800000000005,4,4,4,444,01 - Champions
12627,32,7,4478.53,4,3,4,434,02 - Potential Loyalists
12628,26,3,786.46,4,2,2,422,06 - Others / Need Attention
12629,407,2,1558.22,1,2,3,123,06 - Others / Need Attention
12630,31,2,1270.88,4,2,3,423,06 - Others / Need Attention
12631,79,6,3481.57,3,3,4,334,03 - Loyal Customers
12632,542,2,804.88,1,2,2,122,04 - At Risk
12633,80,7,5678.16,3,3,4,334,03 - Loyal Customers
12634,557,2,490.0,1,2,2,122,04 - At Risk
12635,111,4,2930.41,3,3,4,334,03 - Loyal Customers
12636,760,1,141.0,1,1,1,111,04 - At Risk
12637,89,12,8340.31,3,4,4,344,03 - Loyal Customers
12638,55,2,921.49,3,2,3,323,06 - Others / Need Attention
12639,260,3,1312.3700000000001,2,2,3,223,06 - Others / Need Attention
12640,45,3,1174.58,4,2,3,423,06 - Others / Need Attention
12641,137,1,185.9,2,1,1,211,04 - At Risk
12642,47,3,1013.26,4,2,3,423,06 - Others / Need Attention
12643,150,12,8350.42,2,4,4,244,03 - Loyal Customers
12644,151,4,1918.49,2,3,3,233,03 - Loyal Customers
12645,55,8,3539.3,3,4,4,344,03 - Loyal Customers
12646,26,2,1346.97,4,2,3,423,06 - Others / Need Attention
12647,44,36,17924.35,4,4,4,444,01 - Champions
12648,176,4,1112.0,2,3,3,233,03 - Loyal Customers
12649,129,8,2294.65,2,4,3,243,03 - Loyal Customers
12650,25,1,314.44,4,1,1,411,06 - Others / Need Attention
12651,356,4,377.75,2,3,2,232,06 - Others / Need Attention
12652,353,2,1017.0300000000001,2,2,3,223,06 - Others / Need Attention
12653,170,3,4160.83,2,2,4,224,06 - Others / Need Attention
12654,32,5,601.98,4,3,2,432,06 - Others / Need Attention
12655,445,1,261.35,1,1,1,111,04 - At Risk
12656,39,8,6407.83,4,4,4,444,01 - Champions
12657,33,4,1643.18,4,3,3,433,02 - Potential Loyalists
12658,40,1,686.05,4,1,2,412,06 - Others / Need Attention
12659,51,1,91.68,3,1,1,311,06 - Others / Need Attention
12660,33,1,245.10000000000002,4,1,1,411,06 - Others / Need Attention
12661,458,1,162.0,1,1,1,111,04 - At Risk
12662,22,20,6988.02,4,4,4,444,01 - Champions
12663,646,2,239.4,1,2,1,121,04 - At Risk
12664,30,11,6070.04,4,4,4,444,01 - Champions
12665,346,3,313.6,2,2,1,221,04 - At Risk
12666,416,1,1248.42,1,1,3,113,06 - Others / Need Attention
12667,80,1,620.13,3,1,2,312,06 - Others / Need Attention
12668,33,10,11444.68,4,4,4,444,01 - Champions
12669,172,3,2744.0299999999997,2,2,4,224,06 - Others / Need Attention
12670,32,7,3760.29,4,3,4,434,02 - Potential Loyalists
12671,628,1,2622.481,1,1,4,114,06 - Others / Need Attention
12672,351,2,437.05,2,2,2,222,04 - At Risk
12673,27,3,1230.02,4,2,3,423,06 - Others / Need Attention
12674,60,4,1970.6,3,3,3,333,03 - Loyal Customers
12675,575,2,958.5,1,2,3,123,06 - Others / Need Attention
12676,46,11,2843.09,4,4,4,444,01 - Champions
12677,577,2,395.1,1,2,2,122,04 - At Risk
12678,64,21,34281.18,3,4,4,344,03 - Loyal Customers
12679,80,4,1113.02,3,3,3,333,03 - Loyal Customers
12680,22,4,880.81,4,3,2,432,06 - Others / Need Attention
12681,36,45,30868.28,4,4,4,444,01 - Champions
12682,25,52,24033.91,4,4,4,444,01 - Champions
12683,26,21,12696.78,4,4,4,444,01 - Champions
12684,29,7,2283.63,4,3,3,433,02 - Potential Loyalists
12685,50,6,2863.08,3,3,4,334,03 - Loyal Customers
12686,393,1,178.28,2,1,1,211,04 - At Risk
12687,502,2,2138.91,1,2,3,123,06 - Others / Need Attention
12688,135,1,4873.81,2,1,4,214,06 - Others / Need Attention
12689,47,2,1247.6100000000001,4,2,3,423,06 - Others / Need Attention
12690,227,1,389.01,2,1,2,212,04 - At Risk
12691,50,7,1170.4,3,3,3,333,03 - Loyal Customers
12692,659,1,110.95,1,1,1,111,04 - At Risk
12693,149,7,1703.02,2,3,3,233,03 - Loyal Customers
12694,92,3,1843.35,3,2,3,323,06 - Others / Need Attention
12695,29,7,1407.1200000000001,4,3,3,433,02 - Potential Loyalists
12696,456,2,851.91,1,2,2,122,04 - At Risk
12697,50,3,957.59,3,2,3,323,06 - Others / Need Attention
12698,612,1,339.75,1,1,1,111,04 - At Risk
12699,439,1,638.11,1,1,2,112,04 - At Risk
12700,29,4,4939.99,4,3,4,434,02 - Potential Loyalists
12701,101,6,2446.41,3,3,4,334,03 - Loyal Customers
12702,41,1,219.0,4,1,1,411,06 - Others / Need Attention
12703,93,4,1006.53,3,3,3,333,03 - Loyal Customers
12704,29,8,2340.84,4,4,4,444,01 - Champions
12705,37,14,11762.1,4,4,4,444,01 - Champions
12707,313,1,603.42,2,1,2,212,04 - At Risk
12708,51,18,5314.1,3,4,4,344,03 - Loyal Customers
12709,37,34,31093.34,4,4,4,444,01 - Champions
12710,118,3,1149.02,2,2,3,223,06 - Others / Need Attention
12711,633,2,1339.05,1,2,3,123,06 - Others / Need Attention
12712,50,21,7193.66,3,4,4,344,03 - Loyal Customers
12713,22,1,848.55,4,1,2,412,06 - Others / Need Attention
12714,31,12,14093.710000000001,4,4,4,444,01 - Champions
12715,128,1,353.86,2,1,2,212,04 - At Risk
12716,25,2,1053.49,4,2,3,423,06 - Others / Need Attention
12717,173,3,1308.91,2,2,3,223,06 - Others / Need Attention
12718,93,1,238.25,3,1,1,311,06 - Others / Need Attention
12719,27,2,644.95,4,2,2,422,06 - Others / Need Attention
12720,24,30,8260.67,4,4,4,444,01 - Champions
12721,53,8,4013.08,3,4,4,344,03 - Loyal Customers
12722,107,4,997.63,3,3,3,333,03 - Loyal Customers
12723,25,5,725.07,4,3,2,432,06 - Others / Need Attention
12724,27,7,2317.52,4,3,4,434,02 - Potential Loyalists
12725,393,4,2694.56,2,3,4,234,03 - Loyal Customers
12726,50,11,4014.6,3,4,4,344,03 - Loyal Customers
12727,32,10,5679.53,4,4,4,444,01 - Champions
12728,93,5,1070.17,3,3,3,333,03 - Loyal Customers
12729,135,1,453.01,2,1,2,212,04 - At Risk
12730,543,1,829.25,1,1,2,112,04 - At Risk
12731,45,17,25775.71,4,4,4,444,01 - Champions
12732,201,1,236.26000000000002,2,1,1,211,04 - At Risk
12733,256,4,2424.87,2,3,4,234,03 - Loyal Customers
12734,374,3,639.65,2,2,2,222,04 - At Risk
12735,337,2,779.5699999999999,2,2,2,222,04 - At Risk
12736,354,1,234.0,2,1,1,211,04 - At Risk
12737,520,2,3710.5,1,2,4,124,06 - Others / Need Attention
12738,394,1,310.7,2,1,1,211,04 - At Risk
12739,100,4,2726.73,3,3,4,334,03 - Loyal Customers
12740,85,1,427.6,3,1,2,312,06 - Others / Need Attention
12741,551,2,406.07,1,2,2,122,04 - At Risk
12742,647,1,1201.52,1,1,3,113,06 - Others / Need Attention
12743,156,2,546.43,2,2,2,222,04 - At Risk
12744,73,11,25317.06,3,4,4,344,03 - Loyal Customers
12745,508,3,925.41,1,2,3,123,06 - Others / Need Attention
12746,562,1,254.55,1,1,1,111,04 - At Risk
12747,24,26,9276.54,4,4,4,444,01 - Champions
12748,22,336,56599.39,4,4,4,444,01 - Champions
12749,25,9,6897.36,4,4,4,444,01 - Champions
12750,150,1,275.88,2,1,1,211,04 - At Risk
12751,466,1,268.27,1,1,1,111,04 - At Risk
12752,103,1,4366.78,3,1,4,314,06 - Others / Need Attention
12753,44,6,21429.39,4,3,4,434,02 - Potential Loyalists
12754,257,3,3010.74,2,2,4,224,06 - Others / Need Attention
12755,302,11,9030.66,2,4,4,244,03 - Loyal Customers
12756,108,1,112.08,3,1,1,311,06 - Others / Need Attention
12757,37,13,7857.1,4,4,4,444,01 - Champions
12758,138,7,9903.24,2,3,4,234,03 - Loyal Customers
12759,74,8,5020.74,3,4,4,344,03 - Loyal Customers
12760,477,1,347.8,1,1,1,111,04 - At Risk
12761,479,2,782.95,1,2,2,122,04 - At Risk
12762,29,2,1898.52,4,2,3,423,06 - Others / Need Attention
12763,160,2,814.16,2,2,2,222,04 - At Risk
12764,338,1,1693.88,2,1,3,213,06 - Others / Need Attention
12765,494,6,1404.58,1,3,3,133,06 - Others / Need Attention
12766,25,9,10068.28,4,4,4,444,01 - Champions
12767,397,1,949.82,2,1,3,213,06 - Others / Need Attention
12768,472,1,168.69,1,1,1,111,04 - At Risk
12769,260,1,1143.6,2,1,3,213,06 - Others / Need Attention
12770,232,2,3246.45,2,2,4,224,06 - Others / Need Attention
12771,507,1,282.3,1,1,1,111,04 - At Risk
12772,81,1,892.47,3,1,2,312,06 - Others / Need Attention
12773,586,1,124.25,1,1,1,111,04 - At Risk
12774,557,1,98.7,1,1,1,111,04 - At Risk
12775,39,7,1686.1200000000001,4,3,3,433,02 - Potential Loyalists
12776,689,1,55.5,1,1,1,111,04 - At Risk
12777,479,1,519.45,1,1,2,112,04 - At Risk
12778,41,9,1775.68,4,4,3,443,02 - Potential Loyalists
12779,59,14,6722.2699999999995,3,4,4,344,03 - Loyal Customers
12780,620,1,337.4,1,1,1,111,04 - At Risk
12781,85,2,826.74,3,2,2,322,06 - Others / Need Attention
12782,26,11,4618.24,4,4,4,444,01 - Champions
12783,24,6,2225.91,4,3,3,433,02 - Potential Loyalists
12784,31,3,1804.75,4,2,3,423,06 - Others / Need Attention
12785,386,3,1100.4,2,2,3,223,06 - Others / Need Attention
12786,631,1,728.5000000000001,1,1,2,112,04 - At Risk
12787,31,4,862.1800000000001,4,3,2,432,06 - Others / Need Attention
12788,485,4,444.90000000000003,1,3,2,132,06 - Others / Need Attention
12789,87,3,273.35,3,2,1,321,06 - Others / Need Attention
12790,214,2,591.85,2,2,2,222,04 - At Risk
12791,395,6,1056.1100000000001,2,3,3,233,03 - Loyal Customers
12792,278,2,827.01,2,2,2,222,04 - At Risk
12793,356,3,1017.33,2,2,3,223,06 - Others / Need Attention
12794,75,2,860.41,3,2,2,322,06 - Others / Need Attention
12795,40,1,430.48,4,1,2,412,06 - Others / Need Attention
12796,650,1,381.0,1,1,2,112,04 - At Risk
12797,387,2,806.11,2,2,2,222,04 - At Risk
12798,32,4,8510.93,4,3,4,434,02 - Potential Loyalists
12799,551,1,219.35,1,1,1,111,04 - At Risk
12800,492,3,584.25,1,2,2,122,04 - At Risk
12801,522,1,1071.82,1,1,3,113,06 - Others / Need Attention
12802,208,7,2416.42,2,3,4,234,03 - Loyal Customers
12803,415,1,1092.81,1,1,3,113,06 - Others / Need Attention
12804,487,2,327.02,1,2,1,121,04 - At Risk
12805,403,4,1434.95,1,3,3,133,06 - Others / Need Attention
12806,457,4,2878.96,1,3,4,134,06 - Others / Need Attention
12807,405,1,330.35,1,1,1,111,04 - At Risk
